,Date of Sale,Region,Product Type,Sales Channel,Customer Type,Sales Amount in US$,Units Sold,Marketing Spend in US$,Returning Customer,Date,Quater,Month,Profit
0,01-01-2022,South America,CRM,Partner,Business,7723.0,16,793.0,Yes,2022-01-01,1,January,6930.0
1,02-01-2022,Australia,DevTools,Partner,Consumer,8681.0,15,725.0,Yes,2022-01-02,1,January,7956.0
2,03-01-2022,Asia,DevTools,Partner,Consumer,5240.0,8,587.0,No,2022-01-03,1,January,4653.0
3,04-01-2022,Australia,Database,Partner,Business,9933.0,15,1810.0,Yes,2022-01-04,1,January,8123.0
4,05-01-2022,Australia,CRM,Online,Consumer,215.0,1,933.0,Yes,2022-01-05,1,January,-718.0
5,06-01-2022,Europe,Database,Direct Sales,Consumer,3066.0,17,935.0,Yes,2022-01-06,1,January,2131.0
6,07-01-2022,Asia,CRM,Online,Consumer,6269.0,15,809.0,No,2022-01-07,1,January,5460.0
7,08-01-2022,Asia,Database,Direct Sales,Consumer,4746.0,14,1213.0,No,2022-01-08,1,January,3533.0
8,09-01-2022,Asia,DevTools,Online,Business,1254.0,14,1271.0,Yes,2022-01-09,1,January,-17.0
9,10-01-2022,Australia,DevTools,Partner,Consumer,3741.0,10,812.0,Yes,2022-01-10,1,January,2929.0
10,11-01-2022,South America,Antivirus,Partner,Business,352.0,2,1413.0,No,2022-01-11,1,January,-1061.0
11,12-01-2022,Asia,ERP,Direct Sales,Consumer,6463.0,6,1584.0,No,2022-01-12,1,January,4879.0
12,13-01-2022,Australia,Database,Direct Sales,Business,8938.0,17,1061.0,No,2022-01-13,1,January,7877.0
13,14-01-2022,Europe,Antivirus,Online,Consumer,8860.0,5,1378.0,No,2022-01-14,1,January,7482.0
14,15-01-2022,South America,ERP,Direct Sales,Business,7025.0,5,1253.0,Yes,2022-01-15,1,January,5772.0
15,16-01-2022,Europe,Database,Online,Consumer,4711.0,15,793.0,No,2022-01-16,1,January,3918.0
16,17-01-2022,South America,CRM,Direct Sales,Business,5169.0,15,1595.0,Yes,2022-01-17,1,January,3574.0
17,18-01-2022,Australia,ERP,Direct Sales,Consumer,1455.0,11,1702.0,No,2022-01-18,1,January,-247.0
18,19-01-2022,North America,DevTools,Direct Sales,Consumer,3476.0,5,1473.0,Yes,2022-01-19,1,January,2003.0
19,20-01-2022,South America,Antivirus,Partner,Business,1959.0,1,986.0,No,2022-01-20,1,January,973.0
20,21-01-2022,Europe,ERP,Partner,Business,8230.0,11,1890.0,No,2022-01-21,1,January,6340.0
21,22-01-2022,Australia,ERP,Online,Business,9156.0,11,1183.0,No,2022-01-22,1,January,7973.0
22,23-01-2022,South America,DevTools,Direct Sales,Business,5416.0,6,899.0,Yes,2022-01-23,1,January,4517.0
23,24-01-2022,North America,Database,Online,Business,7305.0,8,1112.0,Yes,2022-01-24,1,January,6193.0
24,25-01-2022,North America,CRM,Direct Sales,Consumer,1303.0,2,1538.0,Yes,2022-01-25,1,January,-235.0
25,26-01-2022,Asia,DevTools,Partner,Business,6124.0,15,1769.0,Yes,2022-01-26,1,January,4355.0
26,27-01-2022,Asia,CRM,Partner,Business,7058.0,9,1035.0,No,2022-01-27,1,January,6023.0
27,28-01-2022,Europe,Database,Direct Sales,Consumer,4582.0,15,849.0,No,2022-01-28,1,January,3733.0
28,29-01-2022,South America,ERP,Direct Sales,Business,2508.0,8,1440.0,No,2022-01-29,1,January,1068.0
29,30-01-2022,South America,CRM,Partner,Business,8786.0,16,1882.0,Yes,2022-01-30,1,January,6904.0
30,31-01-2022,Asia,Antivirus,Partner,Business,7455.0,14,775.0,No,2022-01-31,1,January,6680.0
31,01-02-2022,South America,Antivirus,Online,Consumer,9009.0,15,1705.0,No,2022-02-01,1,February,7304.0
32,02-02-2022,South America,DevTools,Partner,Business,8202.0,13,1215.0,No,2022-02-02,1,February,6987.0
33,03-02-2022,North America,Database,Direct Sales,Consumer,9905.0,9,1699.0,Yes,2022-02-03,1,February,8206.0
34,04-02-2022,Asia,DevTools,Online,Consumer,2003.0,1,1258.0,Yes,2022-02-04,1,February,745.0
35,05-02-2022,Australia,DevTools,Direct Sales,Business,959.0,6,1066.0,No,2022-02-05,1,February,-107.0
36,06-02-2022,Asia,DevTools,Online,Consumer,3436.0,8,1545.0,Yes,2022-02-06,1,February,1891.0
37,07-02-2022,Australia,Antivirus,Direct Sales,Business,1377.0,18,1851.0,Yes,2022-02-07,1,February,-474.0
38,08-02-2022,North America,Antivirus,Partner,Business,5279.0,18,980.0,No,2022-02-08,1,February,4299.0
